id,date,transaction_type,amount,description
1,2025-04-01,sale,125.5,Morning pastry sales
2,2025-04-01,expense,42.0,Purchased 50 lbs of flour
3,2025-04-02,sale,98.25,Coffee + croissant combo special
4,2025-04-02,expense,28.75,Eggs and butter from supplier
5,2025-04-03,sale,145.0,Custom catering order for local office
6,2025-04-03,expense,12.99,Vanilla bean restock
7,2025-04-04,sale,162.3,Saturday morning rush sales
8,2025-04-05,expense,80.0,Marketing design for new packaging
9,2025-04-05,sale,73.4,Farmer's Market pastries
10,2025-04-06,sale,84.15,Sunday brunch box orders
